municipality,goods_amount,services_amount,total_amount,population,url
奈良市,"13,921,412","29,209,212","43,130,624","348,085",https://www.city.nara.lg.jp/
大和高田市,,,"37,896,792","59,947",https://www.city.yamatotakada.nara.jp/
大和郡山市,"5,207,283","9,750,550","14,957,833","80,942",https://www.city.yamatokoriyama.lg.jp/
天理市,"108,918","336,806","445,724","60,590",https://www.city.tenri.nara.jp/
橿原市,0,"213,400","213,400","118,377",https://www.city.kashihara.nara.jp/
桜井市,,,"1,275,400","53,167",https://www.city.sakurai.lg.jp/
五條市,"2,518,463","2,699,959","5,218,422","25,662",https://www.city.gojo.lg.jp/
御所市,"1,947,518","2,349,432","4,296,950","22,423",https://www.city.gose.nara.jp/
生駒市,"381,010","975,590","1,356,600","114,579",https://www.city.ikoma.lg.jp/
香芝市,"515,778","445,954","961,732","77,220",https://www.city.kashiba.lg.jp/
葛城市,,,"1,597,960","37,229",https://www.city.katsuragi.nara.jp/
宇陀市,"184,000","2,536,600","2,720,600","25,911",https://www.city.uda.lg.jp/
山添村,,,"125,244","2,938",https://www.vill.yamazoe.nara.jp/
平群町,,,"275,000","17,602",https://www.town.heguri.nara.jp/
三郷町,"557,420","10,002,620","10,560,040","22,728",https://www.town.sango.nara.jp/
斑鳩町,,,"3,542,460","27,399",https://www.town.ikaruga.nara.jp/
安堵町,0,0,0,"6,935",https://www.town.ando.nara.jp/
川西町,0,"18,550","18,550","7,755",https://www.town.nara-kawanishi.lg.jp/
三宅町,"394,700",0,"394,700","6,122",https://www.town.miyake.lg.jp/
田原本町,"176,000","564,260","740,260","30,834",https://www.town.tawaramoto.nara.jp/
曽爾村,0,0,0,"1,195",https://www.vill.soni.nara.jp/
御杖村,"1,100",0,"1,100","1,315",https://www.vill.mitsue.nara.jp/
高取町,0,0,0,"6,275",https://www.town.takatori.nara.jp/
明日香村,,,"1,290,300","4,797",https://www.asukamura.jp/
上牧町,,,"374,096","20,870",https://www.town.kanmaki.nara.jp/
王寺町,"1,512,558","700,619","2,213,177","23,715",https://www.town.oji.nara.jp/
広陵町,,,"120,530","33,951",https://www.town.koryo.nara.jp/
河合町,0,0,0,"16,348",https://www.town.kawai.nara.jp/
吉野町,"534,340","100,892","635,232","5,530",https://www.town.yoshino.nara.jp/
大淀町,,,"47,230","15,635",https://www.town.oyodo.lg.jp/
下市町,,,"87,656","4,405",https://www.town.shimoichi.lg.jp/
黒滝村,0,0,0,545,https://www.vill.kurotaki.nara.jp/
天川村,,,"66,000","1,055",https://www.vill.tenkawa.nara.jp/
野迫川村,0,0,0,332,https://www.vill.nosegawa.nara.jp/
十津川村,,,"54,250","2,719",https://www.vill.totsukawa.lg.jp/
下北山村,0,0,0,684,https://www.vill.shimokitayama.nara.jp/
上北山村,,,"171,900",391,https://www.vill.kamikitayama.nara.jp/
川上村,0,0,0,"1,038",https://www.vill.kawakami.nara.jp/
東吉野村,"11,000",0,"11,000","1,354",http://www.vill.higashiyoshino.nara.jp/
