municipality,goods_amount,services_amount,url
奈良市,121231234,80000123,https://www.city.nara.lg.jp/
大和高田市,35000000,22000000,https://www.city.yamatotakada.nara.jp/
大和郡山市,48000000,45000000,
天理市,40000000,26000000,
橿原市,62000000,41000000,
桜井市,37000000,24000000,
五條市,28000000,18000000,
御所市,26000000,17000000,
生駒市,54000000,36000000,https://www.city.ikoma.lg.jp/
香芝市,39000000,25000000,
葛城市,27000000,18000000,
宇陀市,23000000,15000000,
山添村,6000000,4000000,
平群町,14000000,9000000,
三郷町,12000000,8000000,
斑鳩町,15000000,9500000,
安堵町,8000000,5000000,
川西町,9000000,6000000,
三宅町,8500000,5500000,
田原本町,16000000,10000000,
曽爾村,5000000,3000000,
御杖村,4500000,2800000,
高取町,7000000,4500000,
明日香村,6500000,4200000,
上牧町,13000000,8500000,
王寺町,17000000,11000000,
広陵町,15000000,9500000,
河合町,12000000,8000000,
吉野町,9000000,6000000,
大淀町,11000000,7000000,
下市町,8000000,5200000,
黒滝村,3000000,1800000,
天川村,3500000,2000000,
野迫川村,2500000,1500000,
十津川村,5000000,3200000,
下北山村,2200000,1400000,
上北山村,2300000,1500000,
川上村,4000000,2500000,
東吉野村,6000000,3800000,
