municipality,goods_amount,services_amount,url
奈良市,13921412,29209212,https://www.city.nara.lg.jp/
大和高田市,,,https://www.city.yamatotakada.nara.jp/
大和郡山市,5207283,9750550,https://www.city.yamatokoriyama.lg.jp/
天理市,108918,336806,https://www.city.tenri.nara.jp/
橿原市,0,213400,https://www.city.kashihara.nara.jp/
桜井市,,,https://www.city.sakurai.lg.jp/
五條市,2518463,2699959,https://www.city.gojo.lg.jp/
御所市,1947518,2349432,https://www.city.gose.nara.jp/
生駒市,381010,975590,https://www.city.ikoma.lg.jp/
香芝市,515778,445954,https://www.city.kashiba.lg.jp/
葛城市,,,https://www.city.katsuragi.nara.jp/
宇陀市,184000,2536600,https://www.city.uda.lg.jp/
山添村,,,https://www.vill.yamazoe.nara.jp/
平群町,,,https://www.town.heguri.nara.jp/
三郷町,557420,10002620,https://www.town.sango.nara.jp/
斑鳩町,,,https://www.town.ikaruga.nara.jp/
安堵町,,,https://www.town.ando.nara.jp/
川西町,,18550,https://www.town.nara-kawanishi.lg.jp/
三宅町,394700,0,https://www.town.miyake.lg.jp/
田原本町,176000,564260,https://www.town.tawaramoto.nara.jp/
曽爾村,,,https://www.vill.soni.nara.jp/
御杖村,1100,0,https://www.vill.mitsue.nara.jp/
高取町,0,0,https://www.town.takatori.nara.jp/
明日香村,,,https://www.asukamura.jp/
上牧町,,,https://www.town.kanmaki.nara.jp/
王寺町,1512558,700619,https://www.town.oji.nara.jp/
広陵町,,,https://www.town.koryo.nara.jp/
河合町,,,https://www.town.kawai.nara.jp/
吉野町,534340,100892,https://www.town.yoshino.nara.jp/
大淀町,,,https://www.town.oyodo.lg.jp/
下市町,,,https://www.town.shimoichi.lg.jp/
黒滝村,,,https://www.vill.kurotaki.nara.jp/
天川村,,,https://www.vill.tenkawa.nara.jp/
野迫川村,,,https://www.vill.nosegawa.nara.jp/
十津川村,,,https://www.vill.totsukawa.lg.jp/
下北山村,,,https://www.vill.shimokitayama.nara.jp/
上北山村,,,https://www.vill.kamikitayama.nara.jp/
川上村,,,https://www.vill.kawakami.nara.jp/
東吉野村,11000,0,http://www.vill.higashiyoshino.nara.jp/
