year,prefecture,municipality,goods_amount,services_amount,total_amount,population,url
2024,奈良県,奈良市,13921412,29209212,43130624,348085,https://www.city.nara.lg.jp/
2024,奈良県,大和高田市,,,37896792,59947,https://www.city.yamatotakada.nara.jp/
2024,奈良県,大和郡山市,5207283,9750550,14957833,80942,https://www.city.yamatokoriyama.lg.jp/
2024,奈良県,天理市,108918,336806,445724,60590,https://www.city.tenri.nara.jp/
2024,奈良県,橿原市,0,213400,213400,118377,https://www.city.kashihara.nara.jp/
2024,奈良県,桜井市,,,1275400,53167,https://www.city.sakurai.lg.jp/
2024,奈良県,五條市,2518463,2699959,5218422,25662,https://www.city.gojo.lg.jp/
2024,奈良県,御所市,1947518,2349432,4296950,22423,https://www.city.gose.nara.jp/
2024,奈良県,生駒市,381010,975590,1356600,114579,https://www.city.ikoma.lg.jp/
2024,奈良県,香芝市,515778,445954,961732,77220,https://www.city.kashiba.lg.jp/
2024,奈良県,葛城市,,,1597960,37229,https://www.city.katsuragi.nara.jp/
2024,奈良県,宇陀市,184000,2536600,2720600,25911,https://www.city.uda.lg.jp/
2024,奈良県,山添村,,,125244,2938,https://www.vill.yamazoe.nara.jp/
2024,奈良県,平群町,,,275000,17602,https://www.town.heguri.nara.jp/
2024,奈良県,三郷町,557420,10002620,10560040,22728,https://www.town.sango.nara.jp/
2024,奈良県,斑鳩町,,,3542460,27399,https://www.town.ikaruga.nara.jp/
2024,奈良県,安堵町,0,0,0,6935,https://www.town.ando.nara.jp/
2024,奈良県,川西町,0,18550,18550,7755,https://www.town.nara-kawanishi.lg.jp/
2024,奈良県,三宅町,394700,0,394700,6122,https://www.town.miyake.lg.jp/
2024,奈良県,田原本町,176000,564260,740260,30834,https://www.town.tawaramoto.nara.jp/
2024,奈良県,曽爾村,0,0,0,1195,https://www.vill.soni.nara.jp/
2024,奈良県,御杖村,1100,0,1100,1315,https://www.vill.mitsue.nara.jp/
2024,奈良県,高取町,0,0,0,6275,https://www.town.takatori.nara.jp/
2024,奈良県,明日香村,,,1290300,4797,https://www.asukamura.jp/
2024,奈良県,上牧町,,,374096,20870,https://www.town.kanmaki.nara.jp/
2024,奈良県,王寺町,1512558,700619,2213177,23715,https://www.town.oji.nara.jp/
2024,奈良県,広陵町,,,120530,33951,https://www.town.koryo.nara.jp/
2024,奈良県,河合町,0,0,0,16348,https://www.town.kawai.nara.jp/
2024,奈良県,吉野町,534340,100892,635232,5530,https://www.town.yoshino.nara.jp/
2024,奈良県,大淀町,,,47230,15635,https://www.town.oyodo.lg.jp/
2024,奈良県,下市町,,,87656,4405,https://www.town.shimoichi.lg.jp/
2024,奈良県,黒滝村,0,0,0,545,https://www.vill.kurotaki.nara.jp/
2024,奈良県,天川村,,,66000,1055,https://www.vill.tenkawa.nara.jp/
2024,奈良県,野迫川村,0,0,0,332,https://www.vill.nosegawa.nara.jp/
2024,奈良県,十津川村,,,54250,2719,https://www.vill.totsukawa.lg.jp/
2024,奈良県,下北山村,0,0,0,684,https://www.vill.shimokitayama.nara.jp/
2024,奈良県,上北山村,,,171900,391,https://www.vill.kamikitayama.nara.jp/
2024,奈良県,川上村,0,0,0,1038,https://www.vill.kawakami.nara.jp/
2024,奈良県,東吉野村,11000,0,11000,1354,http://www.vill.higashiyoshino.nara.jp/
